iter	Passed	Remaining
0	63	63048
1	63	31761
2	64	21325
3	64	16092
4	65	12957
5	65	10861
6	66	9371
7	66	8246
8	66	7367
9	67	6666
10	67	6099
11	68	5619
12	68	5211
13	69	4862
14	69	4559
15	69	4295
16	70	4063
17	70	3855
18	71	3711
19	72	3552
20	72	3401
21	73	3264
22	73	3141
23	74	3025
24	74	2921
25	75	2824
26	75	2733
27	76	2652
28	76	2573
29	77	2499
30	77	2431
31	78	2367
32	78	2309
33	79	2252
34	79	2199
35	80	2147
36	80	2099
37	81	2055
38	81	2011
39	82	1971
40	82	1933
41	83	1897
42	83	1861
43	84	1827
44	84	1794
45	85	1767
46	85	1737
47	86	1709
48	86	1681
49	87	1656
50	87	1630
51	88	1606
52	88	1584
53	89	1562
54	89	1541
55	90	1522
56	90	1501
57	91	1481
58	91	1462
59	92	1444
60	92	1427
61	93	1410
62	93	1393
63	94	1377
64	94	1360
65	95	1345
66	95	1330
67	95	1312
68	96	1298
69	96	1284
70	97	1271
71	97	1258
72	98	1245
73	98	1232
74	98	1220
75	99	1209
76	99	1197
77	100	1186
78	100	1176
79	101	1165
80	101	1156
81	102	1146
82	102	1137
83	103	1127
84	103	1115
85	104	1106
86	104	1094
87	104	1086
88	105	1077
89	105	1068
90	106	1060
91	106	1051
92	107	1043
93	107	1035
94	107	1028
95	108	1021
96	108	1013
97	109	1005
98	109	998
99	110	990
100	110	983
101	110	974
102	111	967
103	111	960
104	111	953
105	112	946
106	112	940
107	113	933
108	113	928
109	113	921
110	114	915
111	114	909
112	115	904
113	115	898
114	116	892
115	116	886
116	116	881
117	117	875
118	117	869
119	117	864
120	118	858
121	118	853
122	118	846
123	119	841
124	119	836
125	119	831
126	120	827
127	120	821
128	120	816
129	121	812
130	121	807
131	122	803
132	122	799
133	123	795
134	123	792
135	124	787
136	124	783
137	124	778
138	125	774
139	125	770
140	125	767
141	126	764
142	126	760
143	127	756
144	127	753
145	128	749
146	128	745
147	128	742
148	129	738
149	129	735
150	130	733
151	130	729
152	131	726
153	131	722
154	131	719
155	132	716
156	132	712
157	133	709
158	133	706
159	133	703
160	134	700
161	134	696
162	135	693
163	135	690
164	135	688
165	136	685
166	136	682
167	137	679
168	137	676
169	138	674
170	138	671
171	138	669
172	139	666
173	139	663
174	140	661
175	140	658
176	141	656
177	141	653
178	141	651
179	142	648
180	142	645
181	142	642
182	143	640
183	143	637
184	144	635
185	144	632
186	145	631
187	145	628
188	145	626
189	146	624
190	146	621
191	147	619
192	147	617
193	148	614
194	148	612
195	148	610
196	149	608
197	149	605
198	149	603
199	150	601
200	150	599
201	151	597
202	151	595
203	152	593
204	152	591
205	152	589
206	153	587
207	153	585
208	154	583
209	154	581
210	155	579
211	155	577
212	155	575
213	156	573
214	156	571
215	156	569
216	157	567
217	157	565
218	158	564
219	158	562
220	158	560
221	159	559
222	160	557
223	160	555
224	160	554
225	161	552
226	161	550
227	162	548
228	162	547
229	163	546
230	163	544
231	164	543
232	164	541
233	164	539
234	165	537
235	165	536
236	166	534
237	166	532
238	166	531
239	167	529
240	167	528
241	168	526
242	168	524
243	168	523
244	169	521
245	169	520
246	170	518
247	170	517
248	170	515
249	171	514
250	171	512
251	172	511
252	172	509
253	173	508
254	173	507
255	173	505
256	174	504
257	174	503
258	175	501
259	175	500
260	176	499
261	176	497
262	177	496
263	177	495
264	178	493
265	178	492
266	178	491
267	179	489
268	179	488
269	180	486
270	180	486
271	181	485
272	181	484
273	182	482
274	182	481
275	183	480
276	183	479
277	184	477
278	184	476
279	184	475
280	185	474
281	185	472
282	186	471
283	186	470
284	187	469
285	187	467
286	187	466
287	188	465
288	188	464
289	189	463
290	189	461
291	189	460
292	190	459
293	190	457
294	191	456
295	191	455
296	192	454
297	192	453
298	192	452
299	193	450
300	193	449
301	194	448
302	194	447
303	194	446
304	195	445
305	195	444
306	196	443
307	196	441
308	197	440
309	198	441
310	198	439
311	199	438
312	199	437
313	199	436
314	200	435
315	200	434
316	200	433
317	201	431
318	201	430
319	202	429
320	202	428
321	203	427
322	203	426
323	203	425
324	204	424
325	204	423
326	205	422
327	205	421
328	205	420
329	206	419
330	206	417
331	207	416
332	207	415
333	208	414
334	208	414
335	209	413
336	209	411
337	209	410
338	210	409
339	210	408
340	211	407
341	211	406
342	211	405
343	212	405
344	212	404
345	213	403
346	213	402
347	214	401
348	214	400
349	215	399
350	215	398
351	216	397
352	216	396
353	216	395
354	217	394
355	217	393
356	218	392
357	218	391
358	218	390
359	219	390
360	219	389
361	220	388
362	220	387
363	221	386
364	221	385
365	221	384
366	222	383
367	222	382
368	223	381
369	223	380
370	223	379
371	224	378
372	224	377
373	225	376
374	225	376
375	226	375
376	226	374
377	226	373
378	227	372
379	227	371
380	228	370
381	228	369
382	228	368
383	229	367
384	229	367
385	230	366
386	230	365
387	231	364
388	231	363
389	231	362
390	232	361
391	232	360
392	233	359
393	233	359
394	233	358
395	234	357
396	234	356
397	235	355
398	235	354
399	236	354
400	236	353
401	237	352
402	237	351
403	237	351
404	238	350
405	238	349
406	239	348
407	239	347
408	240	346
409	240	346
410	240	345
411	241	344
412	241	343
413	242	342
414	242	341
415	242	340
416	243	340
417	243	339
418	244	338
419	244	337
420	244	336
421	245	336
422	245	335
423	246	334
424	246	333
425	246	332
426	247	331
427	247	331
428	248	330
429	248	329
430	249	328
431	249	328
432	249	327
433	250	326
434	250	325
435	251	325
436	251	324
437	252	323
438	252	322
439	253	322
440	253	321
441	253	320
442	254	319
443	254	319
444	255	318
445	255	317
446	256	316
447	256	316
448	256	315
449	257	314
450	257	313
451	258	312
452	258	312
453	258	311
454	259	310
455	259	309
456	260	309
457	260	308
458	261	307
459	261	306
460	261	306
461	262	305
462	262	304
463	263	303
464	263	303
465	263	302
466	264	301
467	264	300
468	265	300
469	265	299
470	265	298
471	266	297
472	266	297
473	267	296
474	267	295
475	267	294
476	268	294
477	268	293
478	269	292
479	269	292
480	270	291
481	270	290
482	270	289
483	271	289
484	271	288
485	272	287
486	272	287
487	272	286
488	273	285
489	273	284
490	274	284
491	274	283
492	275	283
493	275	282
494	276	281
495	276	281
496	277	280
497	277	279
498	277	279
499	278	278
500	278	277
501	279	276
502	279	276
503	280	275
504	280	274
505	280	274
506	281	273
507	281	272
508	282	272
509	282	271
510	282	270
511	283	270
512	283	269
513	284	268
514	284	268
515	285	267
516	285	266
517	285	266
518	286	265
519	286	264
520	287	264
521	287	263
522	288	262
523	288	262
524	288	261
525	289	260
526	289	260
527	290	259
528	290	258
529	291	258
530	291	257
531	291	256
532	292	256
533	292	255
534	293	254
535	293	254
536	293	253
537	294	252
538	294	252
539	295	251
540	295	250
541	296	250
542	296	249
543	296	248
544	297	248
545	297	247
546	298	247
547	298	246
548	299	245
549	299	245
550	299	244
551	300	243
552	300	243
553	301	242
554	301	241
555	301	241
556	302	240
557	302	239
558	303	239
559	303	238
560	303	237
561	304	237
562	304	236
563	305	235
564	305	235
565	306	234
566	306	234
567	306	233
568	307	232
569	307	232
570	308	231
571	308	230
572	308	230
573	309	229
574	309	228
575	310	228
576	310	227
577	311	227
578	311	226
579	311	225
580	312	225
581	312	224
582	313	223
583	313	223
584	314	222
585	314	222
586	315	221
587	315	221
588	315	220
589	316	219
590	316	219
591	317	218
592	317	217
593	317	217
594	318	216
595	318	216
596	319	215
597	319	214
598	319	214
599	320	213
600	320	212
601	321	212
602	321	211
603	322	211
604	322	210
605	322	209
606	323	209
607	323	208
608	324	208
609	324	207
610	324	206
611	325	206
612	325	205
613	325	204
614	326	204
615	326	203
616	327	203
617	327	202
618	328	202
619	328	201
620	329	200
621	329	200
622	330	199
623	330	199
624	330	198
625	331	197
626	331	197
627	332	196
628	332	196
629	332	195
630	333	194
631	333	194
632	334	193
633	334	193
634	335	192
635	335	191
636	335	191
637	336	190
638	336	190
639	337	189
640	337	189
641	337	188
642	338	187
643	338	187
644	339	186
645	339	186
646	339	185
647	340	184
648	340	184
649	341	183
650	341	183
651	342	182
652	342	181
653	342	181
654	343	180
655	343	180
656	344	179
657	344	179
658	344	178
659	345	177
660	345	177
661	346	176
662	346	176
663	347	175
664	347	175
665	347	174
666	348	173
667	348	173
668	349	172
669	349	172
670	349	171
671	350	171
672	350	170
673	351	169
674	351	169
675	351	168
676	352	168
677	352	167
678	353	166
679	353	166
680	353	165
681	354	165
682	354	164
683	355	164
684	355	163
685	355	162
686	356	162
687	356	161
688	357	161
689	357	160
690	358	160
691	358	159
692	358	159
693	359	158
694	359	157
695	360	157
696	360	156
697	360	156
698	361	155
699	361	155
700	362	154
701	362	153
702	362	153
703	363	152
704	363	152
705	363	151
706	364	150
707	364	150
708	365	149
709	365	149
710	365	148
711	366	148
712	366	147
713	367	147
714	367	146
715	367	145
716	368	145
717	368	144
718	369	144
719	369	143
720	370	143
721	370	142
722	370	142
723	371	141
724	371	140
725	372	140
726	372	139
727	372	139
728	373	138
729	373	138
730	374	137
731	374	137
732	374	136
733	375	136
734	375	135
735	376	134
736	376	134
737	376	133
738	377	133
739	377	132
740	378	132
741	378	131
742	379	131
743	379	130
744	379	130
745	380	129
746	380	128
747	380	128
748	381	127
749	381	127
750	382	126
751	382	126
752	382	125
753	383	125
754	383	124
755	384	124
756	384	123
757	385	122
758	385	122
759	385	121
760	386	121
761	386	120
762	387	120
763	387	119
764	388	119
765	388	118
766	388	118
767	389	117
768	389	117
769	390	116
770	390	115
771	390	115
772	391	114
773	391	114
774	392	113
775	392	113
776	393	112
777	393	112
778	394	111
779	394	111
780	394	110
781	395	110
782	395	109
783	396	109
784	396	108
785	397	108
786	397	107
787	397	107
788	398	106
789	398	105
790	399	105
791	399	104
792	399	104
793	400	103
794	400	103
795	401	102
796	401	102
797	402	101
798	402	101
799	402	100
800	403	100
801	403	99
802	403	99
803	404	98
804	404	98
805	405	97
806	405	96
807	405	96
808	406	95
809	406	95
810	407	94
811	407	94
812	407	93
813	408	93
814	408	92
815	408	92
816	409	91
817	409	91
818	410	90
819	410	90
820	410	89
821	411	89
822	411	88
823	412	88
824	412	87
825	412	86
826	413	86
827	413	85
828	414	85
829	414	84
830	415	84
831	415	83
832	416	83
833	416	82
834	416	82
835	417	81
836	417	81
837	418	80
838	418	80
839	419	79
840	419	79
841	420	78
842	420	78
843	420	77
844	421	77
845	421	76
846	422	76
847	422	75
848	422	75
849	423	74
850	423	74
851	424	73
852	424	73
853	424	72
854	425	72
855	425	71
856	426	71
857	426	70
858	426	70
859	427	69
860	427	69
861	428	68
862	428	68
863	428	67
864	429	67
865	429	66
866	430	65
867	430	65
868	430	64
869	431	64
870	431	63
871	432	63
872	432	62
873	432	62
874	433	61
875	433	61
876	434	60
877	434	60
878	434	59
879	435	59
880	435	58
881	436	58
882	436	57
883	437	57
884	437	56
885	437	56
886	438	55
887	438	55
888	439	54
889	439	54
890	440	53
891	440	53
892	440	52
893	441	52
894	441	51
895	442	51
896	442	50
897	443	50
898	443	49
899	443	49
900	444	48
901	444	48
902	445	47
903	445	47
904	446	46
905	446	46
906	446	45
907	447	45
908	447	44
909	448	44
910	448	43
911	448	43
912	449	42
913	449	42
914	450	41
915	450	41
916	451	40
917	451	40
918	452	39
919	452	39
920	452	38
921	453	38
922	453	37
923	454	37
924	454	36
925	455	36
926	455	35
927	455	35
928	456	34
929	456	34
930	457	33
931	457	33
932	457	32
933	458	32
934	458	31
935	458	31
936	459	30
937	459	30
938	460	29
939	460	29
940	461	28
941	461	28
942	461	27
943	462	27
944	462	26
945	463	26
946	463	25
947	464	25
948	464	24
949	464	24
950	465	23
951	465	23
952	465	22
953	466	22
954	466	21
955	467	21
956	467	21
957	467	20
958	468	20
959	468	19
960	469	19
961	469	18
962	470	18
963	470	17
964	471	17
965	471	16
966	471	16
967	472	15
968	472	15
969	472	14
970	473	14
971	473	13
972	474	13
973	474	12
974	475	12
975	475	11
976	476	11
977	476	10
978	476	10
979	477	9
980	477	9
981	478	8
982	478	8
983	478	7
984	479	7
985	479	6
986	480	6
987	480	5
988	480	5
989	481	4
990	481	4
991	482	3
992	482	3
993	482	2
994	483	2
995	483	1
996	484	1
997	484	0
998	484	0
999	485	0
