iter	Passed	Remaining
0	59	59103
1	59	29741
2	59	19921
3	60	15028
4	60	12095
5	61	10147
6	61	8771
7	62	7728
8	62	6909
9	63	6257
10	63	5720
11	64	5280
12	64	4898
13	65	4579
14	65	4298
15	65	4053
16	66	3833
17	66	3641
18	67	3472
19	67	3318
20	68	3181
21	68	3050
22	68	2930
23	69	2826
24	69	2729
25	70	2634
26	70	2546
27	71	2465
28	71	2388
29	71	2316
30	72	2252
31	72	2189
32	72	2129
33	73	2074
34	73	2024
35	73	1974
36	74	1930
37	74	1888
38	75	1849
39	75	1809
40	75	1770
41	76	1735
42	76	1700
43	76	1666
44	77	1634
45	77	1607
46	77	1578
47	78	1552
48	78	1526
49	79	1503
50	79	1480
51	79	1456
52	80	1433
53	80	1410
54	80	1389
55	81	1368
56	81	1349
57	81	1330
58	82	1313
59	82	1296
60	83	1279
61	83	1261
62	83	1244
63	83	1228
64	84	1213
65	84	1200
66	85	1187
67	85	1172
68	85	1158
69	86	1145
70	86	1133
71	86	1120
72	87	1108
73	87	1097
74	88	1086
75	88	1074
76	88	1063
77	89	1053
78	89	1042
79	89	1031
80	90	1021
81	90	1013
82	90	1002
83	91	994
84	91	987
85	92	978
86	92	969
87	92	960
88	93	952
89	93	947
90	94	940
91	94	933
92	95	926
93	95	919
94	95	911
95	95	903
96	96	896
97	96	888
98	96	881
99	97	874
100	97	868
101	97	861
102	98	854
103	98	849
104	99	844
105	99	839
106	99	834
107	100	829
108	100	823
109	101	817
110	101	812
111	101	806
112	102	800
113	102	796
114	102	790
115	103	786
116	103	780
117	103	776
118	104	771
119	104	765
120	104	761
121	105	756
122	105	751
123	105	748
124	106	743
125	106	739
126	106	734
127	107	729
128	107	725
129	107	721
130	108	717
131	108	714
132	109	711
133	109	707
134	109	704
135	110	700
136	110	696
137	110	693
138	111	689
139	111	685
140	112	683
141	112	678
142	112	675
143	112	671
144	113	668
145	113	664
146	113	661
147	114	657
148	114	654
149	115	651
150	115	648
151	115	644
152	115	641
153	116	638
154	116	635
155	116	632
156	117	629
157	117	626
158	118	624
159	118	621
160	118	617
161	118	614
162	119	612
163	119	609
164	120	607
165	120	605
166	120	602
167	121	599
168	121	597
169	121	595
170	122	592
171	122	590
172	123	588
173	123	586
174	123	584
175	124	582
176	124	580
177	125	579
178	125	577
179	126	574
180	126	572
181	126	569
182	127	567
183	127	565
184	127	562
185	128	560
186	128	558
187	128	555
188	129	553
189	129	551
190	129	550
191	130	548
192	130	546
193	131	544
194	131	543
195	132	541
196	132	540
197	132	538
198	133	536
199	133	534
200	133	532
201	134	530
202	134	529
203	135	527
204	135	525
205	135	524
206	136	522
207	136	520
208	137	518
209	137	517
210	138	517
211	138	515
212	139	513
213	139	511
214	139	510
215	140	509
216	140	507
217	141	506
218	141	504
219	142	503
220	142	501
221	142	500
222	143	499
223	143	497
224	144	496
225	144	495
226	145	493
227	145	492
228	145	490
229	146	489
230	146	488
231	147	486
232	147	485
233	147	484
234	148	483
235	148	481
236	149	480
